property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,distance_to_cbd_km,has_furniture,car_alley
Căn hộ chung cư,TP. Thủ Đức,67.0,2940.0,43.9,2.0,2.0,,,0,0
Nhà riêng,Quận 3,86.0,17000.0,197.7,,,,,0,0
Căn hộ chung cư,Quận 12,73.0,2300.0,31.5,2.0,,,,0,0
Căn hộ chung cư,Quận 7,68.0,7400.0,108.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,72.0,1680.0,23.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,52.0,3400.0,65.4,2.0,1.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,73.0,4600.0,63.0,2.0,,,,0,0
Nhà riêng,Huyện Nhà Bè,52.3,3000.0,57.4,3.0,,2.0,12.25,0,0
Căn hộ chung cư,Huyện Nhà Bè,50.0,2200.0,44.0,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,30.0,1550.0,51.7,,,,,0,0
Nhà riêng,Quận Bình Thạnh,30.0,5590.0,186.3,3.0,4.0,,,0,0
Căn hộ chung cư,Quận Tân Bình,90.0,3300.0,36.7,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,67.0,4300.0,64.2,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 12,65.0,2550.0,39.2,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,51.0,3250.0,63.7,1.0,,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,30.0,1750.0,58.3,1.0,,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,90.0,4700.0,52.2,1.0,,,,0,0
Căn hộ chung cư,Quận 4,86.0,4600.0,53.5,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,121.0,10000.0,82.6,2.0,4.0,,,0,0
Căn hộ chung cư,Quận 12,58.0,2590.0,44.7,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,2600.0,37.7,2.0,,,,0,0
Nhà riêng,Unknown,28.0,3050.0,108.9,1.0,1.0,1.0,9.37,0,0
Căn hộ chung cư,Quận 7,100.0,5800.0,58.0,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 6,90.0,3350.0,37.2,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Gò Vấp,72.0,37000.0,513.9,2.0,,,,0,0
Căn hộ chung cư,Quận 7,110.0,16800.0,152.7,3.0,,,,0,0
Căn hộ chung cư,Quận 1,47.0,11580.0,246.4,1.0,1.0,,,0,0
Nhà riêng,Quận Bình Tân,35.0,2000.0,57.1,2.0,,1.0,,0,0
Căn hộ chung cư,Quận 1,85.0,5300.0,62.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,122.0,9300.0,76.2,3.0,3.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,72.0,3200.0,44.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,90.0,4100.0,45.6,,,,,0,0
Nhà riêng,Quận Tân Bình,168.0,21500.0,128.0,,,1.0,,0,0
Căn hộ chung cư,Quận 7,120.0,8000.0,66.7,3.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,81.0,3300.0,40.7,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,78.0,3950.0,50.6,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,68.0,1680.0,24.7,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Gò Vấp,35.0,1470.0,42.0,1.0,,0.0,,0,0
Căn hộ chung cư,Quận 4,41.0,3290.0,80.2,1.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,78.0,3000.0,38.5,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,67.0,1650.0,24.6,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,67.0,2100.0,31.3,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,81.0,5500.0,67.9,2.0,2.0,,,0,0
Nhà riêng,Quận Tân Phú,152.0,15500.0,102.0,4.0,2.0,2.0,,0,0
Căn hộ chung cư,Quận 7,56.0,4600.0,82.1,2.0,1.0,,,0,0
Căn hộ chung cư,Quận 7,172.0,17800.0,103.5,,,,,0,0
Căn hộ chung cư,Quận 7,200.0,25600.0,128.0,5.0,,,,0,0
Nhà riêng,Quận Tân Bình,75.0,7700.0,102.7,,,2.0,,0,0
