property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,distance_to_cbd_km,has_furniture,car_alley
Căn hộ chung cư,Huyện Nhà Bè,110.0,39000.0,354.5,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,70.0,4550.0,65.0,2.0,2.0,,,0,0
Nhà riêng,Unknown,97.2,4150.0,42.7,3.0,1.0,1.0,9.9,0,0
Căn hộ chung cư,Quận 7,167.0,18000.0,107.8,3.0,2.0,,,0,0
Nhà riêng,Quận 7,48.0,5200.0,108.3,2.0,2.0,0.0,,0,0
Căn hộ chung cư,Quận 7,53.0,3040.0,57.4,1.0,1.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,164.0,13900.0,84.8,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,224.0,31000.0,138.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 1,160.0,47000.0,293.8,1.0,,,,0,0
Nhà riêng,Quận 7,72.0,6700.0,93.1,,,0.0,,0,0
Căn hộ chung cư,Quận Tân Bình,57.0,7450.0,130.7,3.0,2.0,5.0,,0,0
Nhà riêng,Quận Tân Phú,53.0,5150.0,97.2,3.0,,3.0,6.93,0,0
Căn hộ chung cư,Quận 7,88.0,4900.0,55.7,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,46.0,2480.0,53.9,1.0,,,,0,0
Căn hộ chung cư,Quận 7,53.0,2250.0,42.5,1.0,1.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,84.0,2800.0,33.3,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,90.0,6500.0,72.2,3.0,,,,0,0
Căn hộ chung cư,Quận 7,69.0,34000.0,492.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 12,65.0,31000.0,476.9,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,97.0,7000.0,72.2,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 8,92.0,3000.0,32.6,3.0,2.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,120.0,5200.0,43.3,3.0,,,,0,0
Căn hộ chung cư,Quận 4,80.0,5000.0,62.5,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,74.0,5500.0,74.3,3.0,2.0,1.0,,0,0
Căn hộ chung cư,Quận 7,52.0,4500.0,86.5,2.0,1.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,80.0,3900.0,48.8,2.0,,,,0,0
Nhà riêng,Quận Gò Vấp,52.0,15990.0,307.5,,,,,0,0
Căn hộ chung cư,Quận Phú Nhuận,50.0,49000.0,980.0,1.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Bình,90.0,35000.0,388.9,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 8,62.0,2000.0,32.3,2.0,2.0,,,0,0
Nhà riêng,Unknown,73.0,7900.0,108.2,6.0,5.0,4.0,8.13,0,0
Căn hộ chung cư,Huyện Nhà Bè,48.0,26000.0,541.7,1.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,47.0,25000.0,531.9,1.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,44.0,2090.0,47.5,1.0,1.0,,,0,0
Căn hộ chung cư,Quận 10,58.0,2700.0,46.6,2.0,1.0,,,0,0
Căn hộ chung cư,Quận 7,54.0,2870.0,53.1,1.0,,,,0,0
Căn hộ chung cư,Quận 7,101.0,8300.0,82.2,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,96.0,6000.0,62.5,,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,79.0,4600.0,58.2,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 10,31.0,1850.0,59.7,,,1.0,,0,0
Căn hộ chung cư,Quận 7,71.0,4950.0,69.7,2.0,2.0,,,0,0
Nhà riêng,Unknown,150.0,5100.0,34.0,4.0,2.0,2.0,15.25,0,0
Căn hộ chung cư,Quận 6,70.0,4600.0,65.7,1.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Bình,60.0,2000.0,33.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,62.0,5600.0,90.3,1.0,,,,0,0
Nhà riêng,Quận Bình Thạnh,60.0,12000.0,200.0,,,3.0,,0,0
Nhà riêng,Unknown,62.0,5450.0,87.9,4.0,3.0,4.0,10.3,0,0
Căn hộ chung cư,TP. Thủ Đức,97.0,6400.0,66.0,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Gò Vấp,72.0,1770.0,24.6,2.0,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,114.0,4200.0,36.8,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,87.0,4600.0,52.9,3.0,,,,0,0
Căn hộ chung cư,Quận Tân Bình,74.0,5100.0,68.9,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,97.0,7330.0,75.6,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,76.0,46000.0,605.3,,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,85.0,2500.0,29.4,2.0,2.0,,,0,0
Nhà riêng,Unknown,42.0,4100.0,97.6,2.0,2.0,2.0,10.61,0,0
Nhà riêng,Quận 7,204.0,39000.0,191.2,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,3750.0,54.3,2.0,,,,0,0
Căn hộ chung cư,Quận 7,58.0,2800.0,48.3,,,,,0,0
Nhà riêng,Unknown,80.0,3800.0,47.5,2.0,2.0,2.0,13.73,0,0
Căn hộ chung cư,Quận Bình Thạnh,89.0,8500.0,95.5,2.0,,,,0,0
Nhà riêng,Quận 12,60.0,6350.0,105.8,5.0,6.0,4.0,,0,0
Nhà riêng,TP. Thủ Đức,110.0,11600.0,105.5,3.0,3.0,3.0,,0,0
Căn hộ chung cư,Quận Bình Thạnh,66.0,1730.0,26.2,2.0,2.0,,,0,0
Nhà riêng,Quận Bình Thạnh,176.0,20000.0,113.6,,,,,0,0
Căn hộ chung cư,Quận 7,50.0,1850.0,37.0,1.0,1.0,,,0,0
Căn hộ chung cư,Quận 4,80.0,7500.0,93.8,2.0,,,,0,0
Căn hộ chung cư,Quận 7,71.0,4880.0,68.7,2.0,,,,0,0
Căn hộ chung cư,Quận Tân Phú,89.0,36000.0,404.5,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,84.0,39000.0,464.3,3.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,116.0,6700.0,57.8,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,49.0,15000.0,306.1,1.0,1.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,80.0,4800.0,60.0,2.0,,,,0,0
Căn hộ chung cư,Quận 7,71.0,5450.0,76.8,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,100.0,6890.0,68.9,3.0,,,,0,0
Căn hộ chung cư,Quận 3,62.0,12900.0,208.1,,,,,0,0
Căn hộ chung cư,Quận 1,200.0,39000.0,195.0,3.0,4.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,75.0,2100.0,28.0,2.0,,,,0,0
Căn hộ chung cư,Quận 10,77.0,5600.0,72.7,2.0,,,,0,0
Nhà riêng,Unknown,25.0,2980.0,119.2,2.0,2.0,2.0,9.41,0,0
Nhà riêng,Quận Bình Thạnh,195.0,39000.0,200.0,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,4680.0,67.8,2.0,,,,0,0
Căn hộ chung cư,Quận Bình Tân,50.0,3240.0,64.8,1.0,,,,0,0
Căn hộ chung cư,Quận 7,68.0,4400.0,64.7,2.0,,,,0,0
Căn hộ chung cư,Quận 3,68.0,1950.0,28.7,2.0,,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,73.0,2980.0,40.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,77.0,6100.0,79.2,2.0,,,,0,0
Căn hộ chung cư,Quận Gò Vấp,72.0,1650.0,22.9,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,75.0,7400.0,98.7,,,,,0,0
Căn hộ chung cư,Quận 7,81.0,5450.0,67.3,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Phú Nhuận,75.0,5000.0,66.7,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,63.0,29000.0,460.3,2.0,2.0,,,0,0
Nhà riêng,Quận 7,12.0,1650.0,137.5,1.0,,2.0,3.01,0,0
Nhà riêng,Quận 12,58.5,3500.0,59.8,2.0,2.0,1.0,,0,0
Căn hộ chung cư,Quận 7,81.0,5750.0,71.0,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,80.0,7000.0,87.5,2.0,,,,0,0
Nhà riêng,Quận 7,94.0,5350.0,56.9,2.0,2.0,,,0,0
Nhà riêng,Quận Tân Phú,73.0,7700.0,105.5,6.0,6.0,3.0,,0,0
Căn hộ chung cư,Quận 7,147.0,14000.0,95.2,,,,,0,0
Căn hộ chung cư,Quận Tân Phú,74.0,3300.0,44.6,,,,,0,0
Căn hộ chung cư,Quận 3,81.0,5100.0,63.0,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Gò Vấp,75.0,20000.0,266.7,,,6.0,,0,0
Nhà riêng,Quận Tân Bình,50.0,10500.0,210.0,5.0,5.0,5.0,7.03,0,0
Căn hộ chung cư,TP. Thủ Đức,46.0,2480.0,53.9,1.0,,,,0,0
Nhà riêng,Quận 7,30.0,2290.0,76.3,2.0,2.0,3.0,7.05,0,0
Căn hộ chung cư,Huyện Nhà Bè,70.0,3900.0,55.7,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,55.0,1200.0,21.8,2.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,54.0,31000.0,574.1,2.0,,,,0,0
Căn hộ chung cư,Quận 6,68.0,3690.0,54.3,2.0,2.0,,,0,0
Nhà riêng,Quận 7,113.0,43000.0,380.5,,,,,0,0
Nhà riêng,Quận Tân Phú,51.0,5900.0,115.7,3.0,2.0,3.0,,0,0
Căn hộ chung cư,Huyện Bình Chánh,59.0,2490.0,42.2,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,70.0,1650.0,23.6,2.0,,,,0,0
Căn hộ chung cư,Quận 1,73.0,14450.0,197.9,2.0,,,,0,0
Nhà riêng,Quận Bình Thạnh,80.0,18900.0,236.2,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,71.0,860.0,12.1,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Tân,68.0,4000.0,58.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,86.0,6000.0,69.8,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,70.0,2100.0,30.0,2.0,,,,0,0
Nhà riêng,Quận 8,105.0,15500.0,147.6,4.0,,,,0,0
Căn hộ chung cư,Quận 10,80.0,7100.0,88.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,82.0,8000.0,97.6,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,124.0,4100.0,33.1,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,69.0,4000.0,58.0,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,106.0,3990.0,37.6,3.0,2.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,112.0,7100.0,63.4,2.0,2.0,,,0,0
Nhà riêng,Quận Gò Vấp,80.0,8800.0,110.0,,5.0,4.0,,0,0
Căn hộ chung cư,Quận Bình Thạnh,68.0,2100.0,30.9,2.0,2.0,,,0,0
Nhà riêng,Unknown,192.0,15000.0,78.1,4.0,,1.0,13.02,0,0
Căn hộ chung cư,Huyện Bình Chánh,78.0,4200.0,53.8,1.0,,,,0,0
Căn hộ chung cư,Quận 7,57.0,3900.0,68.4,2.0,1.0,,,0,0
Nhà riêng,Quận 3,31.8,5800.0,182.4,3.0,,4.0,,0,0
Nhà riêng,Unknown,102.3,13000.0,127.1,,,,14.02,0,0
Nhà riêng,Unknown,110.0,3680.0,33.5,,,,28.27,0,0
Nhà riêng,Quận Phú Nhuận,64.0,13000.0,203.1,,,2.0,,0,0
Nhà riêng,Unknown,63.0,7500.0,119.0,5.0,3.0,3.0,,0,0
Nhà riêng,Unknown,132.9,10000.0,75.2,,,3.0,17.53,0,0
Nhà riêng,Unknown,119.0,5400.0,45.4,4.0,,2.0,16.68,0,0
Nhà riêng,TP. Thủ Đức,102.0,13900.0,136.3,4.0,,2.0,,0,0
Nhà riêng,Unknown,162.0,9890.0,61.0,4.0,5.0,3.0,,0,0
Nhà riêng,Unknown,59.0,5500.0,93.2,,,1.0,8.11,0,0
Nhà riêng,Quận 1,100.0,38000.0,380.0,,,7.0,,0,0
Nhà riêng,Unknown,100.0,9290.0,92.9,,,1.0,,0,0
Nhà riêng,Unknown,134.0,35000.0,261.2,8.0,8.0,3.0,1.66,0,0
Nhà riêng,TP. Thủ Đức,160.0,13500.0,84.4,4.0,4.0,3.0,,0,0
Nhà riêng,Huyện Hóc Môn,111.0,6500.0,58.6,,,2.0,18.92,0,0
Nhà riêng,TP. Thủ Đức,57.0,4480.0,78.6,3.0,,2.0,,0,0
Nhà riêng,Quận Bình Tân,48.0,4850.0,101.0,2.0,2.0,1.0,,0,0
Nhà riêng,Quận Gò Vấp,144.0,18000.0,125.0,,10.0,4.0,,0,0
Nhà riêng,Unknown,60.0,5300.0,88.3,5.0,2.0,2.0,8.97,0,0
Nhà riêng,Unknown,440.0,4700.0,10.7,,,,29.1,0,0
Nhà riêng,Huyện Bình Chánh,75.0,1200.0,16.0,1.0,,,,0,0
Căn hộ chung cư,Quận 10,61.0,6200.0,101.6,1.0,1.0,,,0,0
Nhà riêng,Quận Bình Tân,120.0,14900.0,124.2,,,,,0,0
Nhà riêng,Unknown,50.0,5350.0,107.0,,,,8.48,0,0
Nhà riêng,Unknown,100.0,7500.0,75.0,,,,7.4,0,0
Nhà riêng,Quận Bình Tân,80.9,7500.0,92.7,4.0,,3.0,12.29,0,0
Nhà riêng,Unknown,83.9,4790.0,57.1,,,,25.72,0,0
Nhà riêng,Huyện Hóc Môn,165.9,10500.0,63.3,,,,17.62,0,0
Căn hộ chung cư,Huyện Nhà Bè,100.0,4100.0,41.0,2.0,3.0,,,0,0
Nhà riêng,Unknown,35.5,7800.0,219.7,3.0,5.0,4.0,,0,0
Nhà riêng,TP. Thủ Đức,52.0,4850.0,93.3,3.0,3.0,3.0,,0,0
Nhà riêng,Unknown,82.0,17200.0,209.8,,,4.0,,0,0
Nhà riêng,Quận Bình Thạnh,285.0,35500.0,124.6,6.0,6.0,3.0,,0,0
Nhà riêng,Quận Phú Nhuận,63.0,7500.0,119.0,4.0,5.0,3.0,,0,0
Nhà riêng,Unknown,80.0,10200.0,127.5,3.0,,2.0,9.38,0,0
Nhà riêng,Quận Tân Phú,78.0,8600.0,110.3,,,3.0,,0,0
Nhà riêng,TP. Thủ Đức,65.0,4200.0,64.6,2.0,,2.0,,0,0
Nhà riêng,Unknown,83.2,2200.0,26.4,,,,21.91,0,0
Nhà riêng,Quận 1,225.0,15000.0,66.7,,,8.0,,0,0
Nhà riêng,Quận Bình Tân,58.8,4500.0,76.5,4.0,3.0,1.0,,0,0
Nhà riêng,Unknown,100.0,6600.0,66.0,,,3.0,,0,0
Nhà riêng,Unknown,65.0,7800.0,120.0,,,,8.72,0,0
Nhà riêng,Quận Bình Tân,65.0,7300.0,112.3,4.0,5.0,,,0,0
Nhà riêng,Quận 7,48.0,4550.0,94.8,3.0,,,,0,0
Nhà riêng,Quận 8,50.0,8200.0,164.0,3.0,3.0,,,0,0
Nhà riêng,TP. Thủ Đức,60.0,4980.0,83.0,2.0,1.0,,,0,0
Nhà riêng,TP. Thủ Đức,55.6,6450.0,116.0,2.0,2.0,2.0,,0,0
Nhà riêng,Quận Bình Tân,64.0,5200.0,81.2,3.0,3.0,2.0,,0,0
Nhà riêng,Unknown,92.3,2350.0,25.5,,,,22.73,0,0
Nhà riêng,TP. Thủ Đức,262.0,18500.0,70.6,,,4.0,,0,0
Nhà riêng,Unknown,47.0,5100.0,108.5,,,,8.35,0,0
Căn hộ chung cư,Quận 7,50.0,2500.0,50.0,2.0,1.0,,,0,0
Nhà riêng,Unknown,29.0,2900.0,100.0,,,,8.44,0,0
Căn hộ chung cư,Quận Tân Phú,70.0,3100.0,44.3,2.0,,,,0,0
Nhà riêng,Quận Bình Tân,64.0,5150.0,80.5,4.0,3.0,3.0,,0,0
Nhà riêng,Quận Tân Bình,60.0,6000.0,100.0,4.0,,4.0,,0,0
Nhà riêng,Unknown,88.0,6500.0,73.9,,,3.0,,0,0
Căn hộ chung cư,Quận 6,85.0,3200.0,37.6,2.0,2.0,,,0,0
Nhà riêng,Unknown,65.9,3700.0,56.1,4.0,,3.0,23.72,0,0
Nhà riêng,Unknown,85.0,1500.0,17.6,1.0,,1.0,39.96,0,0
Nhà riêng,Unknown,112.0,1800.0,16.1,,,,26.89,0,0
Nhà riêng,Unknown,30.0,1650.0,55.0,2.0,2.0,2.0,10.82,0,0
Nhà riêng,Unknown,80.0,5520.0,69.0,1.0,1.0,1.0,9.87,0,0
Nhà riêng,Quận Bình Tân,150.0,13300.0,88.7,,,,,0,0
Nhà riêng,Unknown,60.0,8500.0,141.7,3.0,4.0,4.0,7.78,0,0
Nhà riêng,Unknown,17.4,2480.0,142.5,,,,5.23,0,0
Nhà riêng,Unknown,100.0,4900.0,49.0,2.0,2.0,1.0,14.92,0,0
Nhà riêng,Quận Gò Vấp,67.0,7300.0,109.0,5.0,,4.0,,0,0
Nhà riêng,Quận Tân Phú,66.0,10900.0,165.2,6.0,4.0,4.0,6.46,0,0
Nhà riêng,Quận 7,42.0,5990.0,142.6,4.0,3.0,4.0,,0,0
Căn hộ chung cư,TP. Thủ Đức,60.0,2950.0,49.2,,,,,0,0
Nhà riêng,Unknown,75.0,5000.0,66.7,,,,19.04,0,0
Nhà riêng,Unknown,71.0,6600.0,93.0,,,,9.07,0,0
Nhà riêng,Unknown,70.1,2250.0,32.1,,,,22.45,0,0
Nhà riêng,Quận 7,105.0,8200.0,78.1,4.0,4.0,,,0,0
Nhà riêng,Quận Phú Nhuận,38.0,7300.0,192.1,3.0,4.0,,,0,0
Nhà riêng,Unknown,51.0,5900.0,115.7,,,,9.49,0,0
Nhà riêng,Unknown,200.0,3000.0,15.0,2.0,1.0,1.0,23.73,0,0
Nhà riêng,Unknown,56.0,4600.0,82.1,,,,11.48,0,0
Nhà riêng,Quận Bình Tân,60.0,4900.0,81.7,,,,,0,0
Nhà riêng,TP. Thủ Đức,100.0,7500.0,75.0,,,2.0,,0,0
Nhà riêng,Unknown,47.5,4850.0,102.1,2.0,2.0,2.0,,0,0
Nhà riêng,Unknown,57.0,5150.0,90.4,,,2.0,,0,0
Nhà riêng,Unknown,190.0,21500.0,113.2,,,5.0,,0,0
Căn hộ chung cư,Quận Gò Vấp,68.0,1730.0,25.4,2.0,2.0,,,0,0
Nhà riêng,Unknown,162.0,6700.0,41.4,6.0,6.0,1.0,9.02,0,0
Nhà riêng,Quận Tân Phú,37.0,6380.0,172.4,5.0,4.0,,,0,0
Nhà riêng,Quận 12,52.0,5730.0,110.2,3.0,3.0,3.0,,0,0
Nhà riêng,Unknown,107.0,6500.0,60.7,2.0,,1.0,14.03,0,0
Căn hộ chung cư,Quận 12,65.0,2880.0,44.3,2.0,2.0,,,0,0
Nhà riêng,Quận Gò Vấp,50.0,5250.0,105.0,2.0,,2.0,,0,0
Nhà riêng,Quận 7,133.0,9700.0,72.9,6.0,,,,0,0
Nhà riêng,Unknown,59.7,15000.0,251.3,,,1.0,4.9,0,0
Nhà riêng,Quận 12,80.0,8000.0,100.0,,,,,0,0
Nhà riêng,Unknown,72.0,4500.0,62.5,,,,14.91,0,0
Nhà riêng,Unknown,150.0,7200.0,48.0,,,,20.16,0,0
Nhà riêng,Quận Tân Phú,63.0,5900.0,93.7,3.0,3.0,,,0,0
Căn hộ chung cư,Quận 4,77.0,2450.0,31.8,2.0,,,,0,0
Nhà riêng,Unknown,168.0,12900.0,76.8,,,4.0,,0,0
Nhà riêng,Unknown,44.0,1200.0,27.3,2.0,,1.0,23.79,0,0
Nhà riêng,Unknown,65.0,3650.0,56.2,2.0,2.0,2.0,,0,0
Nhà riêng,Unknown,40.0,4950.0,123.8,5.0,,4.0,12.09,0,0
Nhà riêng,Quận 8,80.0,8130.000000000001,101.6,3.0,,,,0,0
Nhà riêng,Unknown,144.0,18500.0,128.5,4.0,3.0,3.0,8.42,0,0
Nhà riêng,Unknown,43.0,3790.0,88.1,2.0,,3.0,14.45,0,0
Nhà riêng,Quận Tân Phú,17.41,2400.0,137.9,2.0,,1.0,6.66,0,0
Căn hộ chung cư,TP. Thủ Đức,68.0,2800.0,41.2,,,,,0,0
