property_group_id,property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,latitude,longitude,distance_to_cbd_km,listing_date,has_furniture,car_alley
property_14428882279840098265_000573,Căn hộ chung cư,TP. Thủ Đức,97.0,7330.0,75.6,3.0,2.0,,,,,2025-09-16 20:57:00+00:00,0,0
property_10130572604244477721_000575,Căn hộ chung cư,Quận 7,76.0,46000.0,605.3,,,,,,,2025-08-01 21:23:00+00:00,0,0
property_15763137491068471655_000579,Căn hộ chung cư,Huyện Bình Chánh,85.0,2500.0,29.4,2.0,2.0,,,,,2025-08-31 21:07:00+00:00,0,0
property_5301137463355435754_000580,Nhà riêng,Unknown,42.0,4100.0,97.6,2.0,2.0,2.0,10.792,106.605,10.61,2025-08-31 18:43:00+00:00,0,0
property_15115033533863278042_000581,Nhà riêng,Quận 7,204.0,39000.0,191.2,,,,,,,2025-09-24 18:49:00+00:00,0,0
property_10921856389629172926_000583,Căn hộ chung cư,TP. Thủ Đức,69.0,3750.0,54.3,2.0,,,,,,2025-08-31 21:05:00+00:00,0,0
property_8450669507740294795_000584,Căn hộ chung cư,Quận 7,58.0,2800.0,48.3,,,,,,,2025-09-09 21:02:00+00:00,0,0
property_8325269993755873223_000586,Nhà riêng,Unknown,80.0,3800.0,47.5,2.0,2.0,2.0,10.873,106.622,13.73,2025-08-31 18:44:00+00:00,0,0
property_842224059222016470_000587,Căn hộ chung cư,Quận Bình Thạnh,89.0,8500.0,95.5,2.0,,,,,,2025-09-09 21:02:00+00:00,0,0
property_11501946221473040783_000588,Nhà riêng,Quận 12,60.0,6350.0,105.8,5.0,6.0,4.0,,,,2025-08-31 18:42:00+00:00,0,0
property_13560377789793649681_000589,Nhà riêng,TP. Thủ Đức,110.0,11600.0,105.5,3.0,3.0,3.0,,,,2025-09-23 18:51:00+00:00,0,0
property_14006376954507601306_000591,Căn hộ chung cư,Quận Bình Thạnh,66.0,1730.0,26.2,2.0,2.0,,,,,2025-09-16 20:58:00+00:00,0,0
property_15528786754419286081_000592,Nhà riêng,Quận Bình Thạnh,176.0,20000.0,113.6,,,,,,,2025-09-24 18:50:00+00:00,0,0
property_6775584006897366309_000593,Căn hộ chung cư,Quận 7,50.0,1850.0,37.0,1.0,1.0,,,,,2025-09-23 20:51:00+00:00,0,0
property_12019861120837595259_000596,Căn hộ chung cư,Quận 4,80.0,7500.0,93.8,2.0,,,,,,2025-09-16 20:56:00+00:00,0,0
property_12399587311288722946_000600,Căn hộ chung cư,Quận 7,71.0,4880.0,68.7,2.0,,,,,,2025-08-31 21:08:00+00:00,0,0
property_4092690799454621354_000601,Căn hộ chung cư,Quận Tân Phú,89.0,36000.0,404.5,2.0,2.0,,,,,2025-08-31 21:12:00+00:00,0,0
property_10383675342584610071_000607,Căn hộ chung cư,Quận 7,84.0,39000.0,464.3,3.0,,,,,,2025-08-01 21:21:00+00:00,0,0
property_3679906144291185048_000608,Căn hộ chung cư,TP. Thủ Đức,116.0,6700.0,57.8,,,,,,,2025-05-03 21:29:00+00:00,0,0
property_12442334180945634277_000609,Căn hộ chung cư,TP. Thủ Đức,49.0,15000.0,306.1,1.0,1.0,,,,,2025-08-01 21:22:00+00:00,0,0
property_454863190723758929_000610,Căn hộ chung cư,TP. Thủ Đức,80.0,4800.0,60.0,2.0,,,,,,2025-08-31 21:09:00+00:00,0,0
property_16026030700654067351_000611,Căn hộ chung cư,Quận 7,71.0,5450.0,76.8,2.0,2.0,,,,,2025-08-31 21:10:00+00:00,0,0
property_18209561830937923482_000612,Căn hộ chung cư,TP. Thủ Đức,100.0,6890.0,68.9,3.0,,,,,,2025-08-31 21:10:00+00:00,0,0
property_3591656955921212603_000613,Căn hộ chung cư,Quận 3,62.0,12900.0,208.1,,,,,,,2025-09-16 20:56:00+00:00,0,0
property_7638949594674467659_000616,Căn hộ chung cư,Quận 1,200.0,39000.0,195.0,3.0,4.0,,,,,2025-08-01 21:20:00+00:00,0,0
property_5841179650764206945_000617,Căn hộ chung cư,Quận Bình Thạnh,75.0,2100.0,28.0,2.0,,,,,,2025-09-23 20:53:00+00:00,0,0
property_15417348906042071105_000618,Căn hộ chung cư,Quận 10,77.0,5600.0,72.7,2.0,,,,,,2025-09-09 21:02:00+00:00,0,0
property_16777682480044721316_000619,Nhà riêng,Unknown,25.0,2980.0,119.2,2.0,2.0,2.0,10.815,106.624,9.41,2025-08-31 18:43:00+00:00,0,0
property_12988658343648291581_000622,Nhà riêng,Quận Bình Thạnh,195.0,39000.0,200.0,,,,,,,2025-09-24 18:50:00+00:00,0,0
property_798453918860820692_000623,Căn hộ chung cư,TP. Thủ Đức,69.0,4680.0,67.8,2.0,,,,,,2025-09-09 21:03:00+00:00,0,0
property_14671985818296886305_000624,Căn hộ chung cư,Quận Bình Tân,50.0,3240.0,64.8,1.0,,,,,,2025-09-09 21:02:00+00:00,0,0
property_8821705524631664375_000625,Căn hộ chung cư,Quận 7,68.0,4400.0,64.7,2.0,,,,,,2025-08-31 21:10:00+00:00,0,0
property_2015135296059363166_000628,Căn hộ chung cư,Quận 3,68.0,1950.0,28.7,2.0,,,,,,2025-09-02 21:04:00+00:00,0,0
property_12363568096363811729_000629,Căn hộ chung cư,Huyện Nhà Bè,73.0,2980.0,40.8,2.0,2.0,,,,,2025-09-09 21:00:00+00:00,0,0
property_13696706997485383406_000630,Căn hộ chung cư,Quận 7,77.0,6100.0,79.2,2.0,,,,,,2025-09-09 21:03:00+00:00,0,0
property_6978265435256152982_000631,Căn hộ chung cư,Quận Gò Vấp,72.0,1650.0,22.9,2.0,2.0,,,,,2025-09-16 20:58:00+00:00,0,0
property_8791445319743792211_000632,Căn hộ chung cư,Quận 7,75.0,7400.0,98.7,,,,,,,2025-08-31 21:09:00+00:00,0,0
property_9483287617503795762_000633,Căn hộ chung cư,Quận 7,81.0,5450.0,67.3,3.0,2.0,,,,,2025-08-31 21:10:00+00:00,0,0
property_765325767808530821_000634,Căn hộ chung cư,Quận Phú Nhuận,75.0,5000.0,66.7,2.0,2.0,,,,,2025-08-31 21:11:00+00:00,0,0
property_609894033510081889_000636,Căn hộ chung cư,TP. Thủ Đức,63.0,29000.0,460.3,2.0,2.0,,,,,2025-08-01 21:18:00+00:00,0,0
property_16146317132975779157_000637,Nhà riêng,Quận 7,12.0,1650.0,137.5,1.0,,2.0,10.75,106.698,3.01,2025-09-16 18:41:00+00:00,0,0
property_12743781465139121058_000640,Nhà riêng,Quận 12,58.5,3500.0,59.8,2.0,2.0,1.0,,,,2025-08-31 18:29:00+00:00,0,0
property_7138519886930665330_000641,Căn hộ chung cư,Quận 7,81.0,5750.0,71.0,3.0,2.0,,,,,2025-08-31 21:09:00+00:00,0,0
property_7227281079918138769_000642,Căn hộ chung cư,Quận Bình Thạnh,80.0,7000.0,87.5,2.0,,,,,,2025-08-01 21:17:00+00:00,0,0
property_4106454710378409875_000644,Nhà riêng,Quận Tân Phú,73.0,7700.0,105.5,6.0,6.0,3.0,,,,2025-08-31 18:42:00+00:00,0,0
property_8217766300552382934_000645,Căn hộ chung cư,Quận 7,147.0,14000.0,95.2,,,,,,,2025-08-31 21:08:00+00:00,0,0
property_2613620161566291849_000647,Căn hộ chung cư,Quận Tân Phú,74.0,3300.0,44.6,,,,,,,2025-09-16 20:59:00+00:00,0,0
property_8765069497122509907_000649,Căn hộ chung cư,Quận 3,81.0,5100.0,63.0,2.0,2.0,,,,,2025-09-23 20:53:00+00:00,0,0
property_11208281748977760960_000650,Căn hộ chung cư,Quận Gò Vấp,75.0,20000.0,266.7,,,6.0,,,,2025-09-16 20:56:00+00:00,0,0
property_7665935425305766735_000651,Căn hộ chung cư,Quận 10,87.0,8800.0,101.1,2.0,2.0,,,,,2025-09-02 21:04:00+00:00,0,0
property_12388532248815746684_000652,Nhà riêng,Quận Tân Bình,50.0,10500.0,210.0,5.0,5.0,5.0,10.8,106.641,7.03,2025-08-31 18:43:00+00:00,0,0
property_18289084639256436515_000659,Căn hộ chung cư,TP. Thủ Đức,46.0,2480.0,53.9,1.0,,,,,,2025-09-09 21:02:00+00:00,0,0
property_555085524208399009_000660,Nhà riêng,Quận 7,30.0,2290.0,76.3,2.0,2.0,3.0,10.725,106.738,7.05,2025-09-16 18:41:00+00:00,0,0
property_12936540646057359699_000663,Căn hộ chung cư,Huyện Nhà Bè,70.0,3900.0,55.7,2.0,2.0,,,,,2025-08-31 21:09:00+00:00,0,0
property_14995262623935661199_000665,Căn hộ chung cư,Huyện Bình Chánh,55.0,1200.0,21.8,2.0,2.0,,,,,2025-08-31 21:09:00+00:00,0,0
property_1531055262561999932_000666,Căn hộ chung cư,TP. Thủ Đức,54.0,31000.0,574.1,2.0,,,,,,2025-08-01 21:16:00+00:00,0,0
property_5939843994173363981_000668,Căn hộ chung cư,Quận 6,68.0,3690.0,54.3,2.0,2.0,,,,,2025-06-02 21:29:00+00:00,0,0
property_14090986273930701508_000669,Nhà riêng,Quận 7,113.0,43000.0,380.5,,,,,,,2025-09-24 18:49:00+00:00,0,0
property_10915803813681882027_000670,Nhà riêng,Quận Tân Phú,51.0,5900.0,115.7,3.0,2.0,3.0,,,,2025-09-16 18:41:00+00:00,0,0
property_2103761650155273191_000672,Căn hộ chung cư,Huyện Bình Chánh,59.0,2490.0,42.2,2.0,2.0,,,,,2025-09-16 20:55:00+00:00,0,0
property_13509045912337420511_000673,Căn hộ chung cư,Quận 4,70.0,1650.0,23.6,2.0,,,,,,2025-09-16 20:57:00+00:00,0,0
property_11669939146560221917_000675,Căn hộ chung cư,Quận 1,73.0,14450.0,197.9,2.0,,,,,,2025-08-31 21:09:00+00:00,0,0
property_929812080308457424_000680,Căn hộ chung cư,TP. Thủ Đức,71.0,860.0,12.1,2.0,2.0,,,,,2025-09-16 20:56:00+00:00,0,0
property_6012196098860407293_000685,Căn hộ chung cư,Quận Bình Tân,68.0,4000.0,58.8,2.0,2.0,,,,,2025-09-09 21:01:00+00:00,0,0
property_4063846945847743846_000686,Căn hộ chung cư,Quận Tân Phú,86.0,6000.0,69.8,2.0,,,,,,2025-08-01 21:23:00+00:00,0,0
property_12801849079539007482_000692,Căn hộ chung cư,TP. Thủ Đức,70.0,2100.0,30.0,2.0,,,,,,2025-08-01 21:23:00+00:00,0,0
property_12047962865702025540_000694,Nhà riêng,Quận 8,105.0,15500.0,147.6,4.0,,,,,,2025-09-24 18:49:00+00:00,0,0
property_9703994840621623826_000697,Căn hộ chung cư,Quận 10,80.0,7100.0,88.8,2.0,2.0,,,,,2025-09-23 20:53:00+00:00,0,0
property_12212638997613307569_000698,Căn hộ chung cư,Quận 7,82.0,8000.0,97.6,2.0,2.0,,,,,2025-08-01 21:26:00+00:00,0,0
property_8317548613716166750_000699,Căn hộ chung cư,Huyện Nhà Bè,124.0,4100.0,33.1,3.0,2.0,,,,,2025-05-03 21:29:00+00:00,0,0
property_11984264515181971393_000700,Căn hộ chung cư,TP. Thủ Đức,69.0,4000.0,58.0,2.0,,,,,,2025-09-23 20:52:00+00:00,0,0
property_9019496740467020908_000702,Căn hộ chung cư,TP. Thủ Đức,106.0,3990.0,37.6,3.0,2.0,,,,,2025-09-09 21:00:00+00:00,0,0
property_748726987840430153_000704,Căn hộ chung cư,Quận Bình Tân,78.0,3700.0,47.4,,,,,,,2025-08-01 21:23:00+00:00,0,0
property_9439224651936174931_000710,Căn hộ chung cư,Quận Tân Phú,112.0,7100.0,63.4,2.0,2.0,,,,,2025-09-09 21:02:00+00:00,0,0
property_12736032162188910758_000715,Nhà riêng,Quận Gò Vấp,80.0,8800.0,110.0,,5.0,4.0,,,,2025-08-31 18:41:00+00:00,0,0
property_4388364118227358352_000719,Căn hộ chung cư,Quận Bình Thạnh,68.0,2100.0,30.9,2.0,2.0,,,,,2025-09-02 21:04:00+00:00,0,0
property_10971732505553737439_000720,Nhà riêng,Unknown,192.0,15000.0,78.1,4.0,,1.0,10.871,106.63,13.02,2025-08-31 18:42:00+00:00,0,0
property_2295188315975389791_000722,Căn hộ chung cư,Huyện Bình Chánh,78.0,4200.0,53.8,1.0,,,,,,2025-09-23 20:52:00+00:00,0,0
property_13158307289380219278_000724,Căn hộ chung cư,Quận 7,57.0,3900.0,68.4,2.0,1.0,,,,,2025-09-09 21:02:00+00:00,0,0
property_2623115419245465819_000725,Nhà riêng,Quận 3,31.8,5800.0,182.4,3.0,,4.0,,,,2025-09-16 18:41:00+00:00,0,0
property_2760210652939708378_000011,Nhà riêng,Unknown,102.3,13000.0,127.1,,,,10.903,106.702,14.02,2025-09-29 18:27:00+00:00,0,0
property_3064619828816910676_000018,Nhà riêng,Unknown,110.0,3680.0,33.5,,,,11.022,106.632,28.27,2025-09-29 18:27:00+00:00,0,0
property_3928795821436027586_000020,Nhà riêng,Quận Phú Nhuận,64.0,13000.0,203.1,,,2.0,,,,2025-09-26 18:47:00+00:00,0,0
property_2299279423967838370_000037,Nhà riêng,Unknown,63.0,7500.0,119.0,5.0,3.0,3.0,,,,2025-09-27 18:39:00+00:00,0,0
property_1788733763074464682_000039,Nhà riêng,Unknown,132.9,10000.0,75.2,,,3.0,10.934,106.688,17.53,2025-09-29 18:26:00+00:00,0,0
property_10160507755544796769_000040,Nhà riêng,Unknown,119.0,5400.0,45.4,4.0,,2.0,10.843,106.838,16.68,2025-09-29 18:27:00+00:00,0,0
property_2655391507941780150_000045,Nhà riêng,TP. Thủ Đức,102.0,13900.0,136.3,4.0,,2.0,,,,2025-09-28 18:46:00+00:00,0,0
property_3064619828816910676_000049,Nhà riêng,Unknown,110.0,3680.0,33.5,,,,11.022,106.632,28.27,2025-09-29 18:27:00+00:00,0,0
property_10049557596047476798_000055,Nhà riêng,Unknown,162.0,9890.0,61.0,4.0,5.0,3.0,,,,2025-09-27 18:46:00+00:00,0,0
property_3898816392756936411_000062,Nhà riêng,Quận 1,100.0,38000.0,380.0,,,7.0,,,,2025-09-28 18:46:00+00:00,0,0
property_8612626542342645419_000063,Nhà riêng,Quận Tân Phú,63.0,4720.0,74.9,,,,,,,2025-09-24 18:51:00+00:00,0,0
property_10072144216598244287_000064,Nhà riêng,Unknown,100.0,9290.0,92.9,,,1.0,,,,2025-09-25 18:48:00+00:00,0,0
property_13411890291216191732_000072,Nhà riêng,Unknown,134.0,35000.0,261.2,8.0,8.0,3.0,10.789,106.692,1.66,2025-09-29 18:28:00+00:00,0,0
property_12393416783312035809_000079,Nhà riêng,TP. Thủ Đức,160.0,13500.0,84.4,4.0,4.0,3.0,,,,2025-09-29 18:26:00+00:00,0,0
property_611238730986041507_000080,Nhà riêng,Huyện Hóc Môn,111.0,6500.0,58.6,,,2.0,10.91,106.593,18.92,2025-09-29 18:26:00+00:00,0,0
property_5103114810289106021_000100,Nhà riêng,TP. Thủ Đức,57.0,4480.0,78.6,3.0,,2.0,,,,2025-09-26 18:47:00+00:00,0,0
property_8354669059213231326_000113,Nhà riêng,Quận Bình Tân,48.0,4850.0,101.0,2.0,2.0,1.0,,,,2025-09-27 18:39:00+00:00,0,0
property_8821112540382544645_000124,Nhà riêng,Quận Gò Vấp,144.0,18000.0,125.0,,10.0,4.0,,,,2025-09-25 18:48:00+00:00,0,0
property_3669374088863204077_000131,Nhà riêng,Unknown,60.0,5300.0,88.3,5.0,2.0,2.0,10.81,106.626,8.97,2025-09-29 18:38:00+00:00,0,0
property_12951927824752239104_000132,Nhà riêng,Unknown,440.0,4700.0,10.7,,,,11.025,106.616,29.1,2025-09-29 18:27:00+00:00,0,0
property_11186230818560330995_000134,Nhà riêng,Huyện Bình Chánh,75.0,1200.0,16.0,1.0,,,,,,2025-09-25 18:40:00+00:00,0,0
property_983699381599328855_000139,Căn hộ chung cư,Quận 10,61.0,6200.0,101.6,1.0,1.0,,,,,2025-09-25 20:51:00+00:00,0,0
property_12421106505732116732_000156,Nhà riêng,Quận Bình Tân,120.0,14900.0,124.2,,,,,,,2025-09-26 18:47:00+00:00,0,0
property_9886446028493391085_000171,Nhà riêng,Unknown,100.0,7500.0,75.0,,,,10.837,106.73,7.4,2025-09-29 18:28:00+00:00,0,0
property_2333713702218384328_000174,Nhà riêng,Quận Bình Tân,80.9,7500.0,92.7,4.0,,3.0,10.788,106.589,12.29,2025-09-29 18:27:00+00:00,0,0
property_7418799266376061363_000186,Nhà riêng,Unknown,83.9,4790.0,57.1,,,,11.004,106.656,25.72,2025-09-29 18:27:00+00:00,0,0
property_5307851479425033483_000188,Nhà riêng,Huyện Hóc Môn,165.9,10500.0,63.3,,,,10.899,106.598,17.62,2025-09-29 18:29:00+00:00,0,0
property_2427699031457540962_000198,Căn hộ chung cư,Huyện Nhà Bè,100.0,4100.0,41.0,2.0,3.0,,,,,2025-09-25 20:51:00+00:00,0,0
